Potential Energy , -285.757 , Kinetic Energy , 144.54 , Total Energy , -141.217, Delta Energy , 0, Time , 0, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.756 , Kinetic Energy , 144.539 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 0.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.66 , Kinetic Energy , 144.443 , Total Energy , -141.217, Delta Energy , 1.98952e-13, Time , 6.57947, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.58 , Kinetic Energy , 144.364 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 14.9215, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 23.3597, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 1.13687e-13, Time , 31.8006, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 2.84217e-14, Time , 40.2415, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 48.6824, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 2.84217e-14, Time , 57.1233, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -1.08571e-11, Time , 65.5642, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -1.38414e-11, Time , 74.0051, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -1.11697e-11, Time , 82.446, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -3.43903e-12, Time , 90.8869, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -5.25802e-12, Time , 99.3278, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -8.2423e-12, Time , 107.769, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -9.06653e-12, Time , 116.21, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -6.53699e-13, Time , 124.651, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 0, Time , 133.091, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -4.3002e-11, Time , 141.532, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 2.84217e-14, Time , 149.973, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -2.24532e-12, Time , 158.414, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -3.78009e-12, Time , 166.855, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -1.51772e-11, Time , 175.296, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 1.42109e-13, Time , 183.737, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 192.178, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -7.5886e-12, Time , 200.619, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -7.90124e-12, Time , 209.06, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -2.84217e-14, Time , 217.501, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , 8.52651e-14, Time , 225.941, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -1.43814e-11, Time , 234.382, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -285.576 , Kinetic Energy , 144.36 , Total Energy , -141.217, Delta Energy , -1.27613e-11, Time , 242.823, Angular Momentum , 0.000000,0.000000,-95068.800000
